Sample:,PTID,SAMPLE_ID,STIM,Tissue,TimePoint,Subset,NK
20221_B1_B01_005.fcs,20221,20221_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,25.8
20221_B1_B01_005.fcs,20221,20221_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,69.6
22119_B9_B09_053.fcs,22119,22119_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,11.3
22119_B9_B09_053.fcs,22119,22119_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,66.8
4519_E1_E01_050.fcs,4519,4519_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,16
4519_E1_E01_050.fcs,4519,4519_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,75.9
4119_B5_B05_025.fcs,4119,4119_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,16.4
4119_B5_B05_025.fcs,4119,4119_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,71.7
4219_B5_B05_025.fcs,4219,4219_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,16.2
4219_B5_B05_025.fcs,4219,4219_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,77.8
21919_F1_F01_021.fcs,21919,21919_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,18.6
21919_F1_F01_021.fcs,21919,21919_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,76.5
22619_B1_B01_005.fcs,22619,22619_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,24.4
22619_B1_B01_005.fcs,22619,22619_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,68.2
21819_B5_B05_037.fcs,21819,21819_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,24.2
21819_B5_B05_037.fcs,21819,21819_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,63.8
21519_F1_F01_021.fcs,21519,21519_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,21.9
21519_F1_F01_021.fcs,21519,21519_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,70.6
10221_B1_B01_005.fcs,10221,10221_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,18.7
10221_B1_B01_005.fcs,10221,10221_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,71.3
9621_B1_B01_005.fcs,9621,9621_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,18.9
9621_B1_B01_005.fcs,9621,9621_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,71.7
5219_E5_E05_066.fcs,5219,5219_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,6.44
5219_E5_E05_066.fcs,5219,5219_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,82.4
4319_F5_F05_053.fcs,4319,4319_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,20.6
4319_F5_F05_053.fcs,4319,4319_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,61.4
4819_B5_B05_037.fcs,4819,4819_PBMC_wk2,Unstim,PBMC,W2,CD69+GZMB+,14.8
4819_B5_B05_037.fcs,4819,4819_PBMC_wk2,Unstim,PBMC,W2,CD69-GZMB+,70.1
20221_C1_C01_009.fcs,20221,20221_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,26.4
20221_C1_C01_009.fcs,20221,20221_PBMC_wk4,Unstim,PBMC,W4,CD69-GZMB+,67.7
19521_B1_B01_006.fcs,19521,19521_PBMC_wk4,Unstim,PBMC,W4,CD69+GZMB+,40.1
