Sample.,PTID,SAMPLE_ID,TimePoint,STIM,Tissue,Subset,CD4,CD8ab,CD8aa
SEDXX2_BAL_4wk_MtbL_01_1.fcs,SEDXX2,SEDXX2_wk4_MtbL,W4,Mtb_lysate,BAL,IL-2,1.49,0.483,1.555
SEDXX6_BAL_4wk_MtbL_01_1.fcs,SEDXX6,SEDXX6_wk4_MtbL,W4,Mtb_lysate,BAL,IL-2,2.41,0.589,1.128
SEDXX7_BAL_4wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk4_MtbL,W4,Mtb_lysate,BAL,IL-2,6.524,0.219,1.25
SEDXX5_BAL_wk4_MtbL_01_1.fcs,SEDXX5,SEDXX5_wk4_MtbL,W4,Mtb_lysate,BAL,IL-17A,0.352,0.038,0.026
SEDXX8 BAL wk 4 Mtb_02_1.fcs,SEDXX8,SEDXX8_wk4_MtbL,W4,Mtb_lysate,BAL,IL-17A,0.279,0.092,0.062
SEDXX1 BAL wk 4 Mtb_01_1.fcs,SEDXX1,SEDXX1_wk4_MtbL,W4,Mtb_lysate,BAL,IL-17A,0,0,0.192
SEDXX2_BAL_4wk_MtbL_01_1.fcs,SEDXX2,SEDXX2_wk4_MtbL,W4,Mtb_lysate,BAL,IL-17A,0.07,0,0
SEDXX6_BAL_4wk_MtbL_01_1.fcs,SEDXX6,SEDXX6_wk4_MtbL,W4,Mtb_lysate,BAL,IL-17A,1.099,0.256,0.496
SEDXX7_BAL_4wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk4_MtbL,W4,Mtb_lysate,BAL,IL-17A,1.036,0.044,0.18018
SEDXX5_BAL_wk4_MtbL_01_1.fcs,SEDXX5,SEDXX5_wk4_MtbL,W4,Mtb_lysate,BAL,CD107a,0.07,0.08,0
SEDXX8 BAL wk 4 Mtb_02_1.fcs,SEDXX8,SEDXX8_wk4_MtbL,W4,Mtb_lysate,BAL,CD107a,0,0.015,0.005
SEDXX1 BAL wk 4 Mtb_01_1.fcs,SEDXX1,SEDXX1_wk4_MtbL,W4,Mtb_lysate,BAL,CD107a,0.04,0,0
SEDXX2_BAL_4wk_MtbL_01_1.fcs,SEDXX2,SEDXX2_wk4_MtbL,W4,Mtb_lysate,BAL,CD107a,0,0,0
SEDXX6_BAL_4wk_MtbL_01_1.fcs,SEDXX6,SEDXX6_wk4_MtbL,W4,Mtb_lysate,BAL,CD107a,0.28,0.34,0.5
SEDXX7_BAL_4wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk4_MtbL,W4,Mtb_lysate,BAL,CD107a,0,0,0
SEDXX5_BAL_wk8_MtbL_01_1.fcs,SEDXX5,SEDXX5_wk8_MtbL,W8,Mtb_lysate,BAL,CD154,12.33,2.568,10.32
SEDXX2_BAL_8wk_MtbL_01_1.fcs,SEDXX2,SEDXX2_wk8_MtbL,W8,Mtb_lysate,BAL,CD154,11.27,3.75,12.96
