Sample:,PTID,SAMPLE_ID,STIM,Tissue,TimePoint,CD103,CD69,CD25,CD16,CD57,CD158,GranzymeB,NKG2D,CD69CD103,CD69GranB,CD69GranB_,CD69_GranB
4319_G7_G07_059.fcs,4319,4319_PBMC_wk4,Mtb Lysate,PBMC,W4,0.34,21.9,0.96,67.4,0.34,0.87,65.8,0.21,0.11,18.4,3.58,47.5
4319_G5_G05_057.fcs,4319,4319_PBMC_wk4,Unstim,PBMC,W4,0.59,12.8,0.022,64.9,0.065,0.13,66.3,0.065,0.48,9.52,3.29,56.8
4319_H7_H07_063.fcs,4319,4319_PBMC_wk8,Mtb Lysate,PBMC,W8,0.55,27.4,0.65,60.6,0.044,0.33,76.2,0.044,0.46,23.4,4,52.9
4319_H5_H05_061.fcs,4319,4319_PBMC_wk8,Unstim,PBMC,W8,0.49,20.5,0.038,58.1,0.051,0.13,62.8,0.064,0.35,14.9,5.59,47.9
SEDXX21_BAL_E11_E11_083.fcs,SEDXX21,SEDXX21_BAL_pre,Mtb Lysate,BAL,No Vax,40.5,80.2,8.14,3.28,0.75,0.63,38.6,0.87,35.2,33.6,46.6,4.98
SEDXX21_BAL_E9_E09_081.fcs,SEDXX21,SEDXX21_BAL_pre,Unstim,BAL,No Vax,43.5,89.2,5.51,3.3,0.15,0.049,33.9,1.38,41.6,32,57.2,1.92
19521_BAL_A11_A11_028.fcs,19521,19521_BAL_wk8,Mtb Lysate,BAL,W8,68.3,97.7,66.2,1.26,0.07,0.28,91.1,2.03,68.3,90,7.7,1.12
19521_BAL_A9_A09_026.fcs,19521,19521_BAL_wk8,Unstim,BAL,W8,73.4,94.3,1.77,1.28,0.2,0.49,23.4,7.96,72.3,20.3,74,3.05
19521_A3_A03_004.fcs,19521,19521_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.57,26.2,0.26,34.3,0.3,0.88,86.4,0.39,0.39,22.7,3.44,63.7
19521_A1_A01_002.fcs,19521,19521_PBMC_pre,Unstim,PBMC,No Vax,0.76,26.7,0.086,28.4,0.38,0.81,85.5,0.4,0.27,24,2.74,61.5
19521_B3_B03_008.fcs,19521,19521_PBMC_wk4,Mtb Lysate,PBMC,W4,1.21,37.8,0.92,47.1,0.22,0.79,94.7,0.22,1.02,36.4,1.4,58.3
19521_B1_B01_006.fcs,19521,19521_PBMC_wk4,Unstim,PBMC,W4,1.32,42.1,0.13,20.8,0.16,0.29,92.4,1.58,1,40.1,2,52.3
19521_C3_C03_012.fcs,19521,19521_PBMC_wk8,Mtb Lysate,PBMC,W8,1,41.2,0.39,47.7,0.19,0.74,95.8,0.33,0.86,40,1.24,55.9
19521_C1_C01_010.fcs,19521,19521_PBMC_wk8,Unstim,PBMC,W8,1.42,44.4,0.15,27.1,0.25,0.5,90.6,0.61,1.07,42.2,2.15,48.3
4519_BAL_B11_B11_032.fcs,4519,4519_BAL_wk8,Mtb Lysate,BAL,W8,33.1,94.9,31,11.7,0.19,0.38,94.6,0.83,33.1,90.5,4.48,4.1
4519_BAL_B9_B09_030.fcs,4519,4519_BAL_wk8,Unstim,BAL,W8,36.6,77,1.1,16.7,0.12,0.29,41.7,6.7,33,31.4,45.6,10.3
4519_D3_D03_048.fcs,4519,4519_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.46,15,0.016,61.4,0.098,0.16,85.8,0.64,0.049,13.4,1.59,72.4
4519_D1_D01_046.fcs,4519,4519_PBMC_pre,Unstim,PBMC,No Vax,0.18,15.2,0.016,48.4,0.097,0.21,80.9,1.07,0.032,13.4,1.87,67.6
4519_E3_E03_052.fcs,4519,4519_PBMC_wk2,Mtb Lysate,PBMC,W2,0.46,18.1,1.19,68.9,0.081,0.45,93.2,0.21,0.16,17.2,0.85,76
4519_E1_E01_050.fcs,4519,4519_PBMC_wk2,Unstim,PBMC,W2,0.34,17,0.17,56,0.17,0.37,91.9,0.71,0.093,16,0.97,75.9
4519_F3_F03_056.fcs,4519,4519_PBMC_wk4,Mtb Lysate,PBMC,W4,1.1,28.7,0.74,35.7,2.94,4.04,72.8,1.1,0,25.7,2.94,47.1
4519_F1_F01_054.fcs,4519,4519_PBMC_wk4,Unstim,PBMC,W4,1.98,36.1,0.99,36.6,0.5,2.48,76.2,1.98,0.5,35.1,0.99,41.1
4519_G3_G03_060.fcs,4519,4519_PBMC_wk8,Mtb Lysate,PBMC,W8,0.82,23.3,0.2,40.9,0.13,0.5,85.6,0.67,0.47,20.5,2.8,65.1
4519_G1_G01_058.fcs,4519,4519_PBMC_wk8,Unstim,PBMC,W8,0.76,16,0,37.9,0.092,0.4,77.3,0.83,0.36,13,3,64.3
21219_BAL_C11_C11_036.fcs,21219,21219_BAL_wk8,Mtb Lysate,BAL,W8,13.9,89,18.5,40.6,0.23,0.33,94.7,0.72,13.5,84.5,4.5,10.2
21219_BAL_C9_C09_034.fcs,21219,21219_BAL_wk8,Unstim,BAL,W8,14,74.6,1.4,36,0.17,0.52,79.6,3.35,11.9,58.5,16.1,21.1
21219_A7_A07_016.fcs,21219,21219_PBMC_pre,Mtb Lysate,PBMC,No Vax,1.09,33.8,0.82,21.9,0.41,1.23,79.4,0.54,0.14,29,4.77,50.4
21219_A5_A05_014.fcs,21219,21219_PBMC_pre,Unstim,PBMC,No Vax,0.99,15.6,0.5,24.6,0.87,1.86,66,3.23,0.12,11,4.59,55
21219_B7_B07_020.fcs,21219,21219_PBMC_wk4,Mtb Lysate,PBMC,W4,0.61,32.1,4.58,26.8,0.2,0.51,88.5,0.61,0.41,30,2.14,58.5
21219_B5_B05_018.fcs,21219,21219_PBMC_wk4,Unstim,PBMC,W4,1.44,17.6,0,19.4,0.21,1.13,85.1,1.23,0.1,16.1,1.54,69
21219_C7_C07_024.fcs,21219,21219_PBMC_wk8,Mtb Lysate,PBMC,W8,1.49,17,0.4,15.6,0.12,0.31,70.3,0.56,0.19,12.4,4.52,57.9
21219_C5_C05_022.fcs,21219,21219_PBMC_wk8,Unstim,PBMC,W8,1.5,7.74,0.053,16.2,0.32,0.84,74.2,0.74,0.026,7.19,0.55,67.1
SEDXX19_BAL_E11_E11_044.fcs,SEDXX19,SEDXX19_BAL_pre,Mtb Lysate,BAL,No Vax,20.3,71.6,9.32,11.4,0.64,0.64,37.1,1.27,16.1,25.4,46.2,11.7
SEDXX19_BAL_E9_E09_042.fcs,SEDXX19,SEDXX19_BAL_pre,Unstim,BAL,No Vax,23.1,63.1,0.21,12.3,0.42,0.42,14.4,2.71,19.2,7.92,55.2,6.46
5219_BAL_D11_D11_040.fcs,5219,5219_BAL_wk8,Mtb Lysate,BAL,W8,30.8,91,42.8,14.9,0.37,0.48,95.7,1.24,30.5,87.6,3.37,8.12
5219_BAL_D9_D09_038.fcs,5219,5219_BAL_wk8,Unstim,BAL,W8,33.4,77.6,0.62,17.2,0.036,0.29,59.4,7.56,29.6,43.9,33.7,15.4
5219_D7_D07_064.fcs,5219,5219_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.49,7.51,0.094,36,0.069,0.44,84.5,1.24,0.1,6.28,1.24,78.2
5219_D5_D05_062.fcs,5219,5219_PBMC_pre,Unstim,PBMC,No Vax,0.37,7.09,0.064,36.2,0.056,0.53,85.3,1.75,0.072,6.1,0.99,79.2
5219_E7_E07_068.fcs,5219,5219_PBMC_wk2,Mtb Lysate,PBMC,W2,1.13,21.6,4.04,64.5,0.14,0.46,93.5,0.5,0.94,21.1,0.48,72.4
5219_E5_E05_066.fcs,5219,5219_PBMC_wk2,Unstim,PBMC,W2,1.44,7.78,0.013,50.8,0.053,0.63,88.8,1.83,0.93,6.44,1.35,82.4
5219_F7_F07_072.fcs,5219,5219_PBMC_wk4,Mtb Lysate,PBMC,W4,8.78,4.05,8.78,32.4,16.9,14.9,54.1,1.35,2.03,1.35,2.7,52.7
5219_F5_F05_070.fcs,5219,5219_PBMC_wk4,Unstim,PBMC,W4,11.1,1.23,9.88,50.6,13.6,24.7,44.4,1.23,1.23,1.23,0,43.2
5219_G7_G07_076.fcs,5219,5219_PBMC_wk8,Mtb Lysate,PBMC,W8,3.42,6.84,2.31,48.1,4.02,10.3,69.2,0.4,1.21,5.63,1.21,63.6
5219_G5_G05_074.fcs,5219,5219_PBMC_wk8,Unstim,PBMC,W8,4.75,9.84,1.89,43.5,2.46,9.67,80.2,0.74,2.13,8.52,1.31,71.6
SEDXX5_BAL_A11_A11_051.fcs,SEDXX5,SEDXX5_BAL_wk4,Mtb Lysate,BAL,W4,7.87,65.8,9.32,54.2,0.17,0.86,96,0.38,7.07,63.7,2.07,32.2
SEDXX5_BAL_A9_A09_049.fcs,SEDXX5,SEDXX5_BAL_wk4,Unstim,BAL,W4,9.7,66.5,1.65,40.2,0.38,0.79,87.2,2.22,8.73,57.5,8.95,29.7
SEDXX2_BAL_B11_B11_055.fcs,SEDXX2,SEDXX2_BAL_wk4,Mtb Lysate,BAL,W4,50,84.6,34.5,12.5,0.33,0.81,84.3,1.2,46.3,71.4,13.2,12.8
SEDXX2_BAL_B9_B09_053.fcs,SEDXX2,SEDXX2_BAL_wk4,Unstim,BAL,W4,54.9,71,0.19,16.3,0.24,0.72,25.9,3.86,44.2,15.5,55.5,10.4
SEDXX15_BAL_D11_D11_063.fcs,SEDXX15,SEDXX15_BAL_wk4,Mtb Lysate,BAL,W4,2.08,12.7,0.43,81.6,0.17,0.35,97.8,0.087,1.39,11.9,0.87,86
SEDXX15_BAL_D9_D09_061.fcs,SEDXX15,SEDXX15_BAL_wk4,Unstim,BAL,W4,0.72,10.6,0,80.6,0,0,95.7,0.12,0.72,8.82,1.81,86.8
21919_BAL_H7_H07_083.fcs,21919,21919_BAL_wk8,Mtb Lysate,BAL,W8,42.3,93,48,5.7,1.3,2.44,86.7,1.38,41.5,83,10,3.75
